[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.977
[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.905
[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.116
[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.768
[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.43
[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.116
[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.181
[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.955
[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.848
[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.116
[0, 1],[0, 1],[0, 1],[0, 1],(0, 1.0, 10),'(0, 1.0, 10)','(0, 1.0, 10)','(0, 1.0, 10)','[64, 128, 256]','[16, 32, 64]','(0.1, 10, 10)','[<class 'keras.optimizers.Adam'>]','[8, 16, 32]','[100]',0.929
